Cancer Sites,Year,States,Count
All Invasive Cancer Sites Combined,1999,Alabama,19289
All Invasive Cancer Sites Combined,1999,Alaska,1968
All Invasive Cancer Sites Combined,1999,Arizona,21430
All Invasive Cancer Sites Combined,1999,Arkansas,12555
All Invasive Cancer Sites Combined,1999,California,136403
All Invasive Cancer Sites Combined,1999,Colorado,16146
All Invasive Cancer Sites Combined,1999,Connecticut,18710
All Invasive Cancer Sites Combined,1999,Delaware,3979
All Invasive Cancer Sites Combined,1999,District of Columbia,2912
All Invasive Cancer Sites Combined,1999,Florida,100207
All Invasive Cancer Sites Combined,1999,Georgia,30417
All Invasive Cancer Sites Combined,1999,Hawaii,5377
All Invasive Cancer Sites Combined,1999,Idaho,5210
All Invasive Cancer Sites Combined,1999,Illinois,58861
All Invasive Cancer Sites Combined,1999,Indiana,27790
All Invasive Cancer Sites Combined,1999,Iowa,15813
All Invasive Cancer Sites Combined,1999,Kansas,12726
All Invasive Cancer Sites Combined,1999,Kentucky,20889
All Invasive Cancer Sites Combined,1999,Louisiana,20450
All Invasive Cancer Sites Combined,1999,Maine,7186
All Invasive Cancer Sites Combined,1999,Maryland,24819
All Invasive Cancer Sites Combined,1999,Massachusetts,33065
All Invasive Cancer Sites Combined,1999,Michigan,50498
All Invasive Cancer Sites Combined,1999,Minnesota,21869
All Invasive Cancer Sites Combined,1999,Missouri,27699
All Invasive Cancer Sites Combined,1999,Montana,4600
All Invasive Cancer Sites Combined,1999,Nebraska,8543
All Invasive Cancer Sites Combined,1999,Nevada,7621
All Invasive Cancer Sites Combined,1999,New Hampshire,5873
All Invasive Cancer Sites Combined,1999,New Jersey,45377
All Invasive Cancer Sites Combined,1999,New Mexico,7308
All Invasive Cancer Sites Combined,1999,New York,94563
All Invasive Cancer Sites Combined,1999,North Carolina,34563
All Invasive Cancer Sites Combined,1999,North Dakota,3196
All Invasive Cancer Sites Combined,1999,Ohio,57125
All Invasive Cancer Sites Combined,1999,Oklahoma,16105
All Invasive Cancer Sites Combined,1999,Oregon,17616
All Invasive Cancer Sites Combined,1999,Pennsylvania,70907
All Invasive Cancer Sites Combined,1999,Rhode Island,6125
All Invasive Cancer Sites Combined,1999,South Carolina,18865
All Invasive Cancer Sites Combined,1999,Tennessee,22108
All Invasive Cancer Sites Combined,1999,Texas,80689
All Invasive Cancer Sites Combined,1999,Utah,6639
All Invasive Cancer Sites Combined,1999,Vermont,3188
All Invasive Cancer Sites Combined,1999,Virginia,28796
All Invasive Cancer Sites Combined,1999,Washington,28173
All Invasive Cancer Sites Combined,1999,West Virginia,10565
All Invasive Cancer Sites Combined,1999,Wisconsin,26849
All Invasive Cancer Sites Combined,1999,Wyoming,2206
All Invasive Cancer Sites Combined,2000,Alabama,19858
All Invasive Cancer Sites Combined,2000,Alaska,2059
All Invasive Cancer Sites Combined,2000,Arizona,22127
All Invasive Cancer Sites Combined,2000,Arkansas,12736
All Invasive Cancer Sites Combined,2000,California,137509
All Invasive Cancer Sites Combined,2000,Colorado,16788
All Invasive Cancer Sites Combined,2000,Connecticut,19214
All Invasive Cancer Sites Combined,2000,Delaware,4161
All Invasive Cancer Sites Combined,2000,District of Columbia,2937
All Invasive Cancer Sites Combined,2000,Florida,103879
All Invasive Cancer Sites Combined,2000,Georgia,33036
All Invasive Cancer Sites Combined,2000,Hawaii,5263
All Invasive Cancer Sites Combined,2000,Idaho,5672
All Invasive Cancer Sites Combined,2000,Illinois,59192
All Invasive Cancer Sites Combined,2000,Indiana,28967
All Invasive Cancer Sites Combined,2000,Iowa,15762
All Invasive Cancer Sites Combined,2000,Kansas,12812
All Invasive Cancer Sites Combined,2000,Kentucky,21365
All Invasive Cancer Sites Combined,2000,Louisiana,20768
All Invasive Cancer Sites Combined,2000,Maine,7602
All Invasive Cancer Sites Combined,2000,Maryland,25125
All Invasive Cancer Sites Combined,2000,Massachusetts,33589
All Invasive Cancer Sites Combined,2000,Michigan,51328
All Invasive Cancer Sites Combined,2000,Minnesota,22788
All Invasive Cancer Sites Combined,2000,Missouri,27495
All Invasive Cancer Sites Combined,2000,Montana,4803
All Invasive Cancer Sites Combined,2000,Nebraska,8596
All Invasive Cancer Sites Combined,2000,Nevada,9660
All Invasive Cancer Sites Combined,2000,New Hampshire,6231
All Invasive Cancer Sites Combined,2000,New Jersey,46472
All Invasive Cancer Sites Combined,2000,New Mexico,7289
All Invasive Cancer Sites Combined,2000,New York,97336
All Invasive Cancer Sites Combined,2000,North Carolina,36505
All Invasive Cancer Sites Combined,2000,North Dakota,3205
All Invasive Cancer Sites Combined,2000,Ohio,55879
All Invasive Cancer Sites Combined,2000,Oklahoma,16370
All Invasive Cancer Sites Combined,2000,Oregon,17458
All Invasive Cancer Sites Combined,2000,Pennsylvania,71428
All Invasive Cancer Sites Combined,2000,Rhode Island,6170
All Invasive Cancer Sites Combined,2000,South Carolina,19000
All Invasive Cancer Sites Combined,2000,Tennessee,23191
All Invasive Cancer Sites Combined,2000,Texas,83153
All Invasive Cancer Sites Combined,2000,Utah,6570
All Invasive Cancer Sites Combined,2000,Vermont,3101
All Invasive Cancer Sites Combined,2000,Virginia,29651
All Invasive Cancer Sites Combined,2000,Washington,28104
All Invasive Cancer Sites Combined,2000,West Virginia,10634
All Invasive Cancer Sites Combined,2000,Wisconsin,26701
All Invasive Cancer Sites Combined,2000,Wyoming,2234
All Invasive Cancer Sites Combined,2001,Alabama,21087
All Invasive Cancer Sites Combined,2001,Alaska,2188
All Invasive Cancer Sites Combined,2001,Arizona,23369
All Invasive Cancer Sites Combined,2001,Arkansas,13248
All Invasive Cancer Sites Combined,2001,California,142479
All Invasive Cancer Sites Combined,2001,Colorado,17836
All Invasive Cancer Sites Combined,2001,Connecticut,19666
All Invasive Cancer Sites Combined,2001,Delaware,4330
All Invasive Cancer Sites Combined,2001,District of Columbia,2867
